island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,a0-b1,NA,NA,NA,1,NA,NA,NA,NA
guam,nblas,a0-b1,NA,NA,NA,2,NA,NA,NA,NA
guam,nblas,a0-b1,NA,NA,NA,3,NA,NA,NA,NA
guam,nblas,a0-b1,NA,NA,NA,4,NA,NA,NA,NA
guam,nblas,a0-b1,NA,NA,NA,5,NA,NA,NA,NA
guam,nblas,a0-b1,aglaia,2.22,3.58,6,275569.9853,1497704.387,275565.7282,1497702.08
guam,nblas,a0-b1,aglaia,2.95,4.04,7,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,aglaia,0.91,5.52,8,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,aglaia,3.51,2.12,9,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,aglaia,5.68,2.3,10,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,aglaia,4.89,3.74,11,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,mayt,7.03,5,12,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,mayt,7.14,5.38,13,275571.45545,1497699.586,275569.9853,1497704.387
guam,nblas,a0-b1,guamia,4.16,5.43,14,275569.9853,1497704.387,275565.7282,1497702.08
guam,nblas,a0-b1,guamia,6.1,43,15,NA,NA,NA,NA
guam,nblas,a0-b1,guamia,3.7,260,16,NA,NA,NA,NA
guam,nblas,a0-b1,guamia,5.2,551,17,NA,NA,NA,NA
guam,nblas,a0-b1,guamia,15.7,330,18,NA,NA,NA,NA
guam,nblas,a0-b1,guamia,7.3,284,19,NA,NA,NA,NA
guam,nblas,a0-b1,cyno,3.3,477,20,NA,NA,NA,NA
guam,nblas,a0-b1,eug,2.6,365,21,NA,NA,NA,NA
