island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,d1-e2,aglaia,2.38,7.55,110,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,guamia,1.49,8.91,111,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,cyno,2.9,9.92,112,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,guamia,3.66,10.35,113,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,guamia,5.38,7.26,114,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,aglaia,5.04,5.61,115,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,guamia,5.13,5.08,116,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,aglaia,6.14,3.81,117,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,aglaia,6.79,3.35,118,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,aglaia,7.03,3.26,119,275601.9465,1497709.05,275593.044575,1497705.15375
guam,nblas,d1-e2,guamia,5.79,4.75,120,275605.7165,1497700.15,275601.9465,1497709.05
guam,nblas,d1-e2,aglaia,4.88,4.5,121,275605.7165,1497700.15,275601.9465,1497709.05
guam,nblas,d1-e2,aglaia,2.5,6.94,122,275605.7165,1497700.15,275601.9465,1497709.05
guam,nblas,d1-e2,aglaia,1.83,7.6,123,275605.7165,1497700.15,275601.9465,1497709.05
guam,nblas,d1-e2,guamia,4,3.7,124,275605.7165,1497700.15,275601.9465,1497709.05
guam,nblas,d1-e2,eug,8.67,2.15,125,275597.4708,1497696.465,275605.7165,1497700.15
guam,nblas,d1-e2,guamia,9.76,3.95,126,275597.4708,1497696.465,275605.7165,1497700.15
guam,nblas,d1-e2,guamia,9.39,3.85,127,275597.4708,1497696.465,275605.7165,1497700.15
guam,nblas,d1-e2,guamia,1.02,8.46,128,275593.044575,1497705.15375,275597.4708,1497696.465
guam,nblas,d1-e2,eug,1.08,8.42,129,275593.044575,1497705.15375,275597.4708,1497696.465
