dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275567.327347668,1497682.2458738,Okay,1097
275566.426393965,1497683.66455205,Okay,1098
275567.812601445,1497684.94972622,Okay,1099
275567.744237162,1497685.14302588,Okay,1100
275565.885958261,1497684.80488517,Okay,1201
275563.705836218,1497685.72863062,Okay,1202
275563.386242828,1497680.67992571,Okay,1203
275558.847434426,1497682.49080265,_Distances_too_small,1204
275558.060890579,1497684.36122908,_Distances_too_small,1205
275557.362889075,1497685.8996451,_Distances_too_small,1206
275557.35211159,1497685.92229633,_Distances_too_small,1207
275558.244825594,1497684.41537324,Okay,1208
275563.917223152,1497689.03459804,Okay,1209
275564.460461912,1497689.02116696,Okay,1210
275564.630937237,1497688.52600028,Okay,1211
275563.405374734,1497688.03730824,Okay,1212
275563.519285066,1497687.82616077,Okay,1213
275565.728655699,1497689.14806962,Okay,1214
275564.968013278,1497688.19126167,Okay,1215
275565.167783435,1497690.59328511,Okay,1216
275562.895997699,1497689.25973275,Okay,1217
275562.500285901,1497683.93161733,_Distances_too_small,1218
