dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275581.820751228,1497696.76730159,Okay,151
275583.587326019,1497697.14163154,Okay,152
275585.681759903,1497696.99392026,Okay,153
275584.397453378,1497694.20341339,Okay,154
275584.576711625,1497693.86800974,Okay,155
275584.948833674,1497689.64653741,_Distances_too_small,156
275587.395843795,1497690.84922334,_Distances_too_small,157
275580.831145333,1497688.31642956,Okay,158
275581.454306335,1497689.19120165,Okay,159
275582.460362894,1497691.7679957,Okay,160
275578.691632809,1497689.94649009,Okay,161
275575.563609485,1497694.37292482,Okay,162
275578.699748275,1497697.21236342,_Distances_too_small,163
