dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,3938
NA,NA,Distances_too_small,3939
NA,NA,Distances_too_small,3940
NA,NA,Distances_too_small,3941
NA,NA,Distances_too_small,3942
NA,NA,Distances_too_small,3943
NA,NA,Distances_too_small,3945
275597.615508934,1497663.22217004,Okay,3946
275595.063855427,1497664.12151378,Okay,3947
275592.639940256,1497665.78601425,Okay,3948
275592.369387934,1497666.18241335,Okay,3949
NA,NA,Distances_too_small,3950
275589.284482108,1497664.01619999,Okay,3951
275597.036634124,1497663.50684984,Okay,3952
NA,NA,Distances_too_small,3953
NA,NA,Distances_too_small,3954
NA,NA,Distances_too_small,3955
NA,NA,Distances_too_small,3956
NA,NA,Distances_too_small,3957
275591.22932555,1497665.39822111,Okay,3958
275589.07777728,1497666.18889028,Okay,3959
NA,NA,Distances_too_small,3960
NA,NA,Distances_too_small,3961
NA,NA,Distances_too_small,3962
275588.774159464,1497667.22591132,Okay,3963
275589.866990558,1497667.93151283,Okay,3964
NA,NA,Distances_too_small,3965
NA,NA,Distances_too_small,3966
NA,NA,Distances_too_small,3967
275590.187384624,1497668.77408447,Okay,3968
275589.317810043,1497668.74097491,Okay,3969
275590.394233982,1497669.38645587,Okay,3970
275590.820803804,1497669.75329651,Okay,3971
275590.33569926,1497669.57195432,Okay,3972
275591.211544254,1497669.29227033,Okay,3973
275591.002878765,1497667.69748187,Okay,3974
275591.17865796,1497667.14039648,Okay,3975
275589.78507529,1497667.96963533,Okay,3976
