dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275600.478495764,1497684.58572179,Okay,267
275600.795732096,1497682.11963107,Okay,268
275599.579576177,1497682.22768388,Okay,269
275598.318496115,1497681.77321846,Okay,270
275598.736246506,1497682.03660289,Okay,271
275596.880605782,1497684.55149404,Okay,272
275596.681858995,1497684.29245027,Okay,273
275596.64679461,1497684.09328682,Okay,274
275595.957568218,1497683.72310967,Okay,275
275595.800427005,1497681.53172606,Okay,276
275593.807709295,1497681.73083435,Okay,277
275593.968340715,1497681.13997848,Okay,278
275593.374245446,1497682.85509618,Okay,279
275594.817858023,1497678.87016806,Okay,280
275595.465107942,1497678.32673333,Okay,281
275595.845670234,1497678.51978956,Okay,282
275596.391296856,1497674.59274911,_Distances_too_small,283
275596.067532306,1497676.00812148,Okay,284
275595.721467039,1497674.28450179,_Distances_too_small,285
275598.117168095,1497678.35489549,Okay,286
275599.991913784,1497678.75864756,Okay,287
275601.005829781,1497681.59992534,Okay,288
