dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275603.507816015,1497671.60387069,Okay,3924
275601.67130471,1497670.35133942,Okay,3925
275600.007862744,1497669.68320166,Okay,3926
NA,NA,Distances_too_small,3927
275598.783304006,1497666.7864256,Okay,3928
NA,NA,Distances_too_small,3929
NA,NA,Distances_too_small,3930
275599.36983644,1497671.32372336,Okay,3931
275599.012532639,1497671.66270757,Okay,3932
275598.183885047,1497671.75778466,Okay,3933
NA,NA,Distances_too_small,3934
NA,NA,Distances_too_small,3935
275599.964351797,1497674.22780975,Okay,3936
275600.571761296,1497672.32319426,Okay,3937
275600.149050447,1497669.42153282,Okay,3944
