dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
275595.422637082,1497705.24977466,Okay,110
275594.337782899,1497704.41367343,Okay,111
275594.412524334,1497702.59665895,Okay,112
275594.54493358,1497701.81540848,_Outside_cell,113
275597.965387522,1497702.97889273,Okay,114
275598.081702748,1497704.9836205,Okay,115
275598.147807981,1497705.67711712,Okay,116
275599.004766788,1497706.62878012,Okay,117
275599.683015593,1497706.58035664,Okay,118
275599.949653431,1497706.47314071,Okay,119
275602.128664554,1497703.26286633,Okay,120
275603.619564729,1497704.30345496,_Distances_too_small,121
275602.709397567,1497706.54062919,_Distances_too_small,122
275602.474107647,1497707.16465719,_Distances_too_small,123
275603.603847204,1497704.34032765,_Distances_too_small,124
275597.186874403,1497698.59617016,Okay,125
275595.956569252,1497700.11323317,Okay,126
275596.326504299,1497700.14101515,Okay,127
275597.129673815,1497697.57956398,_Distances_too_small,128
275597.110247979,1497697.62589708,_Distances_too_small,129
