island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,e3-ze4,aglaia,1.75,9.12,3882,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,2.52,8.5,3883,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,guamia,3.22,7.04,3884,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,3.05,8.02,3885,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,5.7,7.36,3886,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,7.93,2.4,3887,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,10.53,0.89,3888,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,10.41,1.66,3889,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,guamia,9.72,2.4,3890,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,10.38,2.89,3891,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,10.05,4,3892,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,11.04,4.4,3893,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,6.82,4.81,3894,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,6.58,5.83,3895,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,4.6,6.65,3896,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,?,7.82,6.49,3897,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,guamia,10.52,6.81,3898,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,7.3,10.11,3899,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,aglaia,7.3,11.38,3900,275622.3182,1497684.905,275618.2574,1497694.085
guam,nblas,e3-ze4,eug,9.61,11.99,3901,275622.3182,1497684.905,275618.2574,1497694.085
