island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,a2-b3,aglaia,4.5,5.88,174,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,5.11,6.08,175,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,3.21,7.86,176,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,aglaia,2.99,9.98,177,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,aglaia,3.48,8.87,178,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,6.24,7.9,179,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,aglaia,6.29,9.65,180,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,11.17,6.92,181,275569.4299,1497682.423,275573.6591,1497673.824
guam,nblas,a2-b3,aglaia,9.73,5.72,182,275569.4299,1497682.423,275573.6591,1497673.824
guam,nblas,a2-b3,guamia,9.27,5.1,183,275569.4299,1497682.423,275573.6591,1497673.824
guam,nblas,a2-b3,aglaia,7.29,4.73,184,275569.4299,1497682.423,275573.6591,1497673.824
guam,nblas,a2-b3,guamia,6.03,6.38,185,275569.4299,1497682.423,275573.6591,1497673.824
guam,nblas,a2-b3,aglaia,9.36,6.01,186,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,cyno,9.01,5.1,187,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,7.06,6.2,188,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,eug,6.29,5.84,189,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,6.19,4.66,190,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,5.41,4.98,191,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,5.24,4.48,192,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,aglaia,6.26,3.57,193,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,cyno,7.5,3.27,194,275573.6591,1497673.824,275581.8082,1497679.421
guam,nblas,a2-b3,guamia,8.49,4.31,195,275573.6591,1497673.824,275581.8082,1497679.421
