island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,a3-za4,guamia,3.26,7.28,1023,275569.3306,1497661.551,275576.6483,1497665.083
guam,nblas,a3-za4,guamia,4.55,5.85,1024,275569.3306,1497661.551,275576.6483,1497665.083
guam,nblas,a3-za4,guamia,4.45,6.3,1025,275569.3306,1497661.551,275576.6483,1497665.083
guam,nblas,a3-za4,aglaia,5.56,5.05,1026,275569.3306,1497661.551,275576.6483,1497665.083
guam,nblas,a3-za4,premna,7.9,7.34,1027,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,eug,8.69,6.46,1028,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.63,4.96,1029,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,premna,2.43,8.47,1030,275576.6483,1497665.083,275569.3306,1497661.551
guam,nblas,a3-za4,eug,8.24,9.75,1031,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.5,1.56,1032,275569.3306,1497661.551,275576.6483,1497665.083
guam,nblas,a3-za4,cyno,3.97,6.03,1033,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,guamia,4.14,5.83,1034,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,cyno,4.27,6.05,1035,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,guamia,4.43,6.46,1036,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,guamia,6.91,7.56,1037,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,6.09,4.92,1038,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,guamia,5.92,4.07,1039,275565.8001,1497669.17,275569.3306,1497661.551
guam,nblas,a3-za4,guamia,4.4,6.71,1040,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,3.71,6.59,1041,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,eug,4.47,5.51,1042,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,5.72,5.12,1043,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,6.06,5.28,1044,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,6.73,4.3,1045,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,eug,6.79,3.63,1046,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,aglaia,7.45,2.88,1047,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.25,1.31,1048,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.84,2.27,1049,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,10.1,1.28,1050,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,10.3,3,1051,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.8,3.36,1052,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.76,4.38,1053,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.41,4.75,1054,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,guamia,9.44,4.36,1055,275573.6591,1497673.824,275565.8001,1497669.17
guam,nblas,a3-za4,eug,9.27,4.33,1056,275573.6591,1497673.824,275565.8001,1497669.17
