island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,a4-z4b,neiso,4.61,4.41,1061,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,5.49,3.69,1062,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,6.92,2.97,1063,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,7.54,2.72,1064,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,8.63,1.14,1065,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,premna,7.22,1.99,1066,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,cyno,2.33,8.99,3977,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,1.49,7.56,3978,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,1.79,7.42,3979,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,2.65,8.72,3980,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,6.9,3.77,3981,275590.0284,1497659.173,275585.496,1497669.518
guam,nblas,a4-z4b,neiso,7.69,3.85,3982,275590.0284,1497659.173,275585.496,1497669.518
guam,nblas,a4-z4b,guamia,4.78,7.6,3983,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,9.7,8.53,3984,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,neiso,9.17,8.34,3985,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,neiso,8.47,6.67,3986,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,neiso,7.06,7.14,3987,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,neiso,6.9,12.02,3988,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,11.82,7.16,3989,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,guamia,12.41,7.32,3990,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,guamia,11.63,6.82,3991,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,aglaia,11.63,6.62,3992,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,cyno,10.14,4.64,3993,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,mor,8.63,2.35,3994,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,aglaia,7.26,4,3995,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,aglaia,8.19,5.34,3996,275576.6483,1497665.083,275582.8982,1497654.615
guam,nblas,a4-z4b,guamia,8.55,6.75,3997,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,9.03,5.71,3998,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,guamia,7.02,4.62,3999,275582.8982,1497654.615,275590.0284,1497659.173
guam,nblas,a4-z4b,neiso,5.04,4.8,4000,275582.8982,1497654.615,275590.0284,1497659.173
