island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,b2-c3,aglaia,8.64,1.64,196,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,aglaia,7.9,2.81,197,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,cyno,9.77,4.1,198,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,8.77,5.13,199,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,7.55,5.19,200,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,aglaia,5.98,5.43,201,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,6.24,5.71,202,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,5.94,4.98,203,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,5.9,4.98,204,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,neiso,4.42,5.81,205,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,1.29,8.96,206,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,2.81,8.24,207,275588.7859,1497691.34,275578.7555,1497685.947
guam,nblas,b2-c3,guamia,4.35,5.19,208,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,guamia,3.53,6.38,209,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,aglaia,4.98,6.98,210,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,guamia,3.47,8.11,211,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,guamia,3.52,9.01,212,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,mor,2.23,7.74,213,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,mor,2.28,7.33,214,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,guamia,1.01,9.4,215,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,psych,4.38,10.45,216,275578.7555,1497685.947,275581.8082,1497679.421
guam,nblas,b2-c3,aglaia,2.77,7.01,217,275581.8082,1497679.421,275591.3085,1497682.612
guam,nblas,b2-c3,eug,6.23,4.3,218,275591.3085,1497682.612,275588.7859,1497691.34
guam,nblas,b2-c3,guamia,6.01,5.5,219,275591.3085,1497682.612,275588.7859,1497691.34
guam,nblas,b2-c3,guamia,5.7,6.14,220,275591.3085,1497682.612,275588.7859,1497691.34
