island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,b4-z4c,guamia,5.8,5.02,3938,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,guamia,6.2,4.67,3939,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,guamia,7.28,3.57,3940,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,guamia,7.81,3.16,3941,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,guamia,8.16,3.61,3942,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,premna,9.13,2.06,3943,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,eug,9.89,1.43,3945,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,eug,2.92,8.6,3946,275590.0284,1497659.173,275600.5035,1497662.791
guam,nblas,b4-z4c,aglaia,5.6,7.06,3947,275590.0284,1497659.173,275600.5035,1497662.791
guam,nblas,b4-z4c,guamia,7.11,8.06,3948,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,eug,7.39,7.64,3949,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,6.2,4.85,3950,275590.0284,1497659.173,275600.5035,1497662.791
guam,nblas,b4-z4c,aglaia,4.9,6.68,3951,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,guamia,3.54,8.24,3952,275590.0284,1497659.173,275600.5035,1497662.791
guam,nblas,b4-z4c,neiso,1.28,9.47,3953,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,1.44,9.05,3954,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,premna,1.38,9.35,3955,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,4.13,6.66,3956,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,guamia,5.74,5.41,3957,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,6.34,7.06,3958,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,7.08,4.89,3959,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,6.75,4.23,3960,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,guamia,6.6,4,3961,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,7.74,2.96,3962,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,8.15,4,3963,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,8.76,4.65,3964,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,8.79,3.3,3965,275585.496,1497669.518,275600.5035,1497662.791
guam,nblas,b4-z4c,guamia,2.42,8.18,3966,275600.5035,1497662.791,275594.3719,1497673.497
guam,nblas,b4-z4c,guamia,9.39,1.26,3967,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,4.75,6.31,3968,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,neiso,3.9,6.94,3969,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,aglaia,4.9,5.72,3970,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,guamia,5.33,5.16,3971,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,eug,4.84,5.63,3972,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,neiso,5.72,5.26,3973,275594.3719,1497673.497,275585.496,1497669.518
guam,nblas,b4-z4c,neiso,8.58,5.8,3974,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,neiso,8.05,6.16,3975,275585.496,1497669.518,275590.0284,1497659.173
guam,nblas,b4-z4c,tri,8.8,4.56,3976,275585.496,1497669.518,275590.0284,1497659.173
