island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,e0-z*e0,guamia,7.41,2.71,3788,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,guamia,6.6,3.72,3789,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,cyno,6.94,3.89,3790,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,guamia,8,3.3,3791,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,eug,2.64,8.45,3792,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,guamia,2.34,8.84,3793,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,guamia,1.39,8.96,3794,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,aglaia,2.15,8.14,3795,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,aglaia,3.76,6.6,3796,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,mayt,4.56,6.23,3797,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,cyno,6.85,3.57,3798,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,guamia,8.14,1.92,3799,275599.6325,1497729.382,275591.3227,1497725.559
guam,nblas,e0-z*e0,guamia,0,10.52,3800,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,aglaia,1.87,9.22,3801,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,guamia,2.96,7.94,3802,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,neiso,4.57,6.34,3803,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,cyno,4.82,8.1,3804,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,aglaia,7.19,5.36,3805,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,guamia,6.45,4.45,3806,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,guamia,7.6,3.03,3807,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,aglaia,8.96,6.06,3808,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,aglaia,9.21,5.87,3809,275605.499,1497720.424,275599.6325,1497729.382
guam,nblas,e0-z*e0,aglaia,3.7,8.67,3810,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,guamia,9.12,4.5,3811,275597.0471,1497717.511,275605.499,1497720.424
guam,nblas,e0-z*e0,aglaia,9.28,4.83,3812,275597.0471,1497717.511,275605.499,1497720.424
guam,nblas,e0-z*e0,aglaia,3.81,6.93,3813,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,aglaia,3.4,7.11,3814,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,aglaia,2.48,7.93,3815,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,aglaia,1.22,8.92,3816,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,aglaia,8.7,2.58,3817,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,aglaia,9.75,2.48,3818,275591.3227,1497725.559,275597.0471,1497717.511
guam,nblas,e0-z*e0,guamia,5.96,4.2,3819,275591.3227,1497725.559,275597.0471,1497717.511
