Point_name,corner_x,corner_y
a0,276067.1928,1498172.156
a1,276063.404,1498161.108
a2,276058.0287,1498152.222
a3,276053.7182,1498145.08
a4,276048.4392,1498135.768
b0,276058.6097,1498176.165
b1,276053.9847,1498167.995
b2,276049.2661,1498159.566
b3,276044.5868,1498151.142
b4,276039.8406,1498140.371
c0,276049.91,1498181.514
c1,276046.0286,1498172.697
c2,276041.593,1498163.552
c3,276036.142,1498155.245
c4,276031.8445,1498146.283
d0,276041.4522,1498186.177
d1,276036.8414,1498175.78
d2,276032.7963,1498167.368
d3,276027.8621,1498158.585
d4,276023.1306,1498151.712
e0,276031.2554,1498189.799
e1,276027.7421,1498181.628
e2,276023.561366,1498172.71381
e3,276019.9257,1498163.143
e4,276015.8846,1498153.473
z*a0,276082.9173,1498177.985
z*a4,NA,NA
z*e0,NA,NA
z*e4,276003.8422,1498146.866
z0a,276073.9578,1498181.01
z0b,276063.9598,1498186.267
z0c,276056.021,1498189.256
z0d,276047.4551,1498195.009
z0e,276038.9221,1498198.374
z4a,276047.0549,1498126.773
z4b,276037.7266,1498131.107
z4c,276030.5685,1498136.118
z4d,276021.1421,1498140.24
za0,276079.2254,1498165.009
za1,276073.96,1498160.257
za2,276069.59,1498149.683
za3,276064.0991,1498140.973
za4,276058.7455,1498132.079
ze0,276024.8282,1498191.628
ze1,276021.2144,1498183.196
ze2,276016.645817,1498175.12605
ze3,276010.521,1498165.118
ze4,276007.5278,1498155.858
