island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,a0-b1,aglaia,9.49,1.06,756,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,aglaia,6.51,3.98,757,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,tri,5.55,6.03,758,276067.1928,1498172.156,276058.6097,1498176.165
guam,anao,a0-b1,tri,7.4,6.86,759,276067.1928,1498172.156,276058.6097,1498176.165
guam,anao,a0-b1,tri,8.29,3.29,760,276067.1928,1498172.156,276058.6097,1498176.165
guam,anao,a0-b1,tri,5.51,6.13,761,276063.404,1498161.108,276067.1928,1498172.156
guam,anao,a0-b1,guamia,5.77,4.92,762,276063.404,1498161.108,276067.1928,1498172.156
guam,anao,a0-b1,guamia,1.54,9.82,763,276053.9847,1498167.995,276063.404,1498161.108
guam,anao,a0-b1,aglaia,3.79,10.33,764,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,aglaia,4.01,8.13,765,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,premna,0.96,9.58,766,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,tri,0.81,9.3,767,276058.6097,1498176.165,276053.9847,1498167.995
guam,anao,a0-b1,tri,2.06,8.2,768,276058.6097,1498176.165,276053.9847,1498167.995
