island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,a0-z0b,tri,3.7,8.6,1449,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,3.68,9.5,1450,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,4.32,9.2,1451,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,4.71,8.17,1452,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,5.45,7.31,1453,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,5.98,6.48,1454,276058.6097,1498176.165,276067.1928,1498172.156
guam,anao,a0-z0b,tri,6.45,4.9,1455,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,aglaia,4.53,7.95,1456,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,aglaia,4.31,9.93,1457,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,tri,4.27,9,1458,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,aglaia,1.74,8.95,1459,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,tri,4.9,6.12,1460,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,tri,5.81,5.49,1461,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,tri,5.72,5.91,1462,276067.1928,1498172.156,276073.9578,1498181.01
guam,anao,a0-z0b,aglaia,9.35,2.2,1463,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,tri,4.99,5.74,1464,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,mayt,4.96,5.5,1465,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,tri,6.72,6.37,1466,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,tri,5.55,8.44,1467,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,tri,5.34,7.64,1468,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,aglaia,2.76,8.72,1469,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,aglaia,2.03,9.05,1470,276063.9598,1498186.267,276058.6097,1498176.165
guam,anao,a0-z0b,tri,7.98,2.5,1471,276058.6097,1498176.165,276067.1928,1498172.156
