island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,a3-za4,aglaia,10.37,11.31,1332,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,cyno,6.07,9.14,1333,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,aglaia,1.64,8.65,1334,276064.0991,1498140.973,276053.7182,1498145.08
guam,anao,a3-za4,aglaia,4.8,7.04,1335,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,guamia,5.77,5.39,1336,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,guamia,5.05,5.18,1337,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,mor,2.89,7.14,1338,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,guamia,0.74,8.65,1339,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,aglaia,4.12,5.46,1340,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,aglaia,7.64,2.73,1341,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,neiso,10.06,2.53,1342,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,neiso,10.23,3.59,1343,276058.7455,1498132.079,276064.0991,1498140.973
guam,anao,a3-za4,neiso,10.57,3.05,1344,276058.7455,1498132.079,276064.0991,1498140.973
