island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,a4-z*a4,aglaia,1.73,8.9,1193,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,aglaia,4.1,7.12,1194,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,7.28,3.8,1195,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,6.61,7.02,1196,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,7.51,5.38,1197,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,guamia,7.85,3.43,1198,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,mor,8.98,1.92,1199,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,8.59,4.89,1200,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,9.23,5.52,1318,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,8.63,5.79,1319,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,10.72,4.19,1320,276048.4392,1498135.768,276047.0549,1498126.773
guam,anao,a4-z*a4,neiso,5.65,4.45,1321,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,5.46,4.88,1322,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,7.24,3.49,1323,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,7.01,4.13,1324,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,7.18,4.95,1325,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,6.15,5.81,1326,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,7.89,2.87,1327,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,8.98,0.91,1328,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,7.22,6.78,1329,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,9.63,6.6,1330,276058.7455,1498132.079,276048.4392,1498135.768
guam,anao,a4-z*a4,neiso,9.73,5.74,1331,276058.7455,1498132.079,276048.4392,1498135.768
