island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,b2-c3,aglaia,4.66,5.82,703,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,6.63,6.32,704,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,8.02,5.67,705,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,9.52,5.53,706,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,7.52,7.47,707,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,6.96,7.66,708,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,9.28,7.01,709,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,10.17,7.33,710,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,13.45,9.95,711,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,11.6,9.22,712,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,guamia,5.36,11.25,713,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,guamia,4.68,9.61,714,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,4.84,9.5,715,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,4.78,8.49,716,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,4.52,7.42,717,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,guamia,4.16,7.58,718,276049.2661,1498159.566,276044.5868,1498151.142
guam,anao,b2-c3,ifit,4.18,4.18,719,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,4.29,4.29,720,276036.142,1498155.245,276044.5868,1498151.142
guam,anao,b2-c3,aglaia,3.87,3.87,721,276036.142,1498155.245,276044.5868,1498151.142
