island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,c0-z0d,guamia,0.83,8.83,1426,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,aglaia,2.72,7.24,1427,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,neiso,2.92,9.86,1428,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,neiso,4.67,9.54,1429,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,neiso,7.71,8.05,1430,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,neiso,8.65,8.97,1431,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,neiso,NA,4.52,1432,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,aglaia,5.33,4.89,1433,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,aglaia,8.33,2.42,1434,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,tri,8.77,0.96,1435,276049.91,1498181.514,276056.021,1498189.256
guam,anao,c0-z0d,tri,4.28,7.2,1436,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,aglaia,7.99,2.57,1437,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,aglaia,9.78,0.72,1438,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,aglaia,10.42,1.58,1439,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,tri,4.51,7.98,1440,276047.4551,1498195.009,276041.4522,1498186.177
guam,anao,c0-z0d,aglaia,6.54,9.95,1441,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,aglaia,6.2,10.47,1442,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,aglaia,6.04,9.73,1443,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,neiso,5.68,9.99,1444,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,neiso,2.9,9.79,1445,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,aglaia,1.85,7.94,1446,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,guamia,2.71,7.5,1447,276056.021,1498189.256,276047.4551,1498195.009
guam,anao,c0-z0d,aglaia,9.21,7.94,1448,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,neiso,9.07,8.08,1489,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,neiso,7.52,7.05,1490,276041.4522,1498186.177,276049.91,1498181.514
guam,anao,c0-z0d,aglaia,8.45,6.37,1491,276041.4522,1498186.177,276049.91,1498181.514
