island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,c3-d4,guamia,9.12,4.3,680,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,7.49,5.09,681,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,7.61,5.83,682,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,1.28,8.85,683,276031.8445,1498146.283,276036.142,1498155.245
guam,anao,c3-d4,aglaia,1.18,9.34,684,276036.142,1498155.245,276031.8445,1498146.283
guam,anao,c3-d4,aglaia,4.46,6.53,685,276023.1306,1498151.712,276031.8445,1498146.283
guam,anao,c3-d4,aglaia,5.44,6.7,686,276023.1306,1498151.712,276031.8445,1498146.283
guam,anao,c3-d4,aglaia,6.47,7.3,687,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,3.89,7.91,688,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,3.51,7.16,689,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,2.74,7.48,690,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,guamia,3.01,8.6,691,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,7.23,2.82,692,276023.1306,1498151.712,276031.8445,1498146.283
guam,anao,c3-d4,aglaia,1.51,8.46,693,276027.8621,1498158.585,276023.1306,1498151.712
guam,anao,c3-d4,aglaia,0.4,9.56,694,276027.8621,1498158.585,276023.1306,1498151.712
