island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,d0-z0e,neiso,8.73,4.61,1492,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,7.62,4.13,1493,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,7.75,4.68,1494,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,8.91,6.66,1495,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,10.63,8.26,1496,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,12.18,8.63,1497,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,13.12,8.8,1498,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,aglaia,11.47,10.47,1499,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,mor,11.01,10.61,1500,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,10.71,11.3,1501,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,9.21,9.62,1502,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,8.21,10.17,1503,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,6.26,8.4,1504,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,5.5,9.87,1505,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,aglaia,2.83,9.79,1506,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,aglaia,4.05,8.11,1507,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,2.96,8.35,1508,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,3.08,7.65,1509,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,3.48,7.03,1510,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,3.34,6.99,1511,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,4.36,6.12,1512,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,guamia,5.5,6.91,1513,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,4.69,5.47,1514,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,1.19,8.74,1515,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,neiso,5.11,4.77,1516,276038.9221,1498198.374,276031.2554,1498189.799
guam,anao,d0-z0e,ifit,3.56,9.88,1517,276038.9221,1498198.374,276031.2554,1498189.799
