island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,d2-e3,guamia,8.11,6.81,561,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,6.96,6.19,562,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,6.93,6.64,563,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,6.37,4.51,564,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,4.71,6.12,565,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,4.41,5.69,566,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,neiso,3.46,5.22,567,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,guamia,5.43,3.68,568,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,5.72,3.68,569,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,7.99,0.8,570,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,9.57,0.99,571,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,guamia,1.65,7.2,572,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,3.27,8.81,573,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,guamia,3.43,9.38,574,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,4.07,10.26,575,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,neiso,4.06,7.04,576,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,5.03,7.85,577,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,guamia,6.2,9.62,578,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,5.97,9.46,579,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,aglaia,6.27,9.91,580,276032.7963,1498167.368,276023.561366,1498172.71381
guam,anao,d2-e3,guamia,2.64,7.15,581,276023.561366,1498172.71381,276019.9257,1498163.143
