island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,e0-z*e0,neiso,11.91,8.58,1220,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,11.12,9.33,1221,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,aglaia,8.95,9.67,1222,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,aglaia,7.97,9.3,1223,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,7.94,11.21,1224,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,guamia,7.42,10.11,1225,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,guamia,6.85,12.39,1226,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,4,9.86,1227,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,guamia,2.7,10.8,1228,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,3.36,9.53,1229,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,3.29,8.69,1230,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,2.88,8.22,1231,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,aglaia,2.49,8.36,1232,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,6.78,5.82,1233,276024.8282,1498191.628,276031.2554,1498189.799
guam,anao,e0-z*e0,neiso,10.19,1.48,1234,276024.8282,1498191.628,276031.2554,1498189.799
