island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,anao,e2-ze3,neiso,10.18,1.4,1296,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,aglaia,8.96,2.67,1297,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,neiso,7.91,2.12,1298,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,aglaia,11.79,7.07,1299,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,cyno,12.66,7.69,1300,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,aglaia,13.38,8.4,1301,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,guamia,14.55,9.82,1302,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,guamia,14.66,10.01,1303,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,neiso,12.02,8.25,1304,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,aglaia,8.11,6.15,1305,276023.561366,1498172.71381,276016.645817,1498175.12605
guam,anao,e2-ze3,guamia,8.35,6.66,1306,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,guamia,3.84,6.73,1307,276010.521,1498165.118,276019.9257,1498163.143
guam,anao,e2-ze3,cyno,8.83,10.62,1308,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,ifit,7.83,5.22,1309,276010.521,1498165.118,276019.9257,1498163.143
guam,anao,e2-ze3,guamia,10.04,4.93,1310,276010.521,1498165.118,276019.9257,1498163.143
guam,anao,e2-ze3,neiso,9.76,1.74,1311,276010.521,1498165.118,276019.9257,1498163.143
guam,anao,e2-ze3,guamia,5.72,5.13,1312,276016.645817,1498175.12605,276010.521,1498165.118
guam,anao,e2-ze3,guamia,5.84,5.8,1313,276016.645817,1498175.12605,276010.521,1498165.118
