dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,1407
276068.649527058,1498172.41743121,Okay,1408
NA,NA,Distances_too_small,1409
276070.149427927,1498173.08785369,Okay,1410
NA,NA,Distances_too_small,1411
NA,NA,Distances_too_small,1412
NA,NA,Distances_too_small,1413
NA,NA,Distances_too_small,1414
276073.904258378,1498177.66042789,Okay,1415
276080.043110638,1498175.06112662,Okay,1416
276082.767472281,1498175.79010783,Outside_cell,1417
276081.464041576,1498174.34433523,Okay,1418
NA,NA,Corner_missing,1419
NA,NA,Distances_too_small,1420
276079.203469273,1498168.08892192,Okay,1421
NA,NA,Distances_too_small,1422
NA,NA,Distances_too_small,1423
NA,NA,Distances_too_small,1424
276079.18668293,1498168.86880582,Okay,1425
