dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Distances_too_small,1390
NA,NA,Distances_too_small,1391
NA,NA,Distances_too_small,1392
NA,NA,Distances_too_small,1393
NA,NA,Distances_too_small,1394
276067.395027534,1498166.48960749,Okay,1395
NA,NA,Distances_too_small,1396
276066.716440751,1498169.50851405,Okay,1397
NA,NA,Distances_too_small,1398
276068.306042975,1498166.90265915,Okay,1399
NA,NA,Distances_too_small,1400
276074.410823367,1498166.06954319,Okay,1401
276074.779054507,1498164.25394255,Okay,1402
276074.618506154,1498161.21197102,Okay,1403
276075.137702101,1498162.32519191,Okay,1404
NA,NA,Distances_too_small,1405
276077.34637487,1498165.82861245,Okay,1406
