dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
276054.702619176,1498166.70078516,Okay,769
276054.98627742,1498166.08124906,Okay,770
276055.808066747,1498166.78197333,Outside_cell,771
276054.491833868,1498165.18032147,Okay,772
276054.056404942,1498164.76579601,Okay,773
276057.062413545,1498165.06409923,Okay,774
276058.960812231,1498160.86186498,Okay,775
276059.598171264,1498160.77926358,Okay,776
276060.260200513,1498158.63483911,Okay,777
276058.38773925,1498158.5518255,Okay,778
276056.944101898,1498157.83823067,Okay,779
276058.280906246,1498157.40586844,Okay,780
276059.449709005,1498155.9396785,Okay,781
276056.586507026,1498153.8300048,Okay,782
NA,NA,Distances_too_small,783
NA,NA,Distances_too_small,784
NA,NA,Distances_too_small,785
NA,NA,Distances_too_small,786
276050.975041434,1498160.02688955,Okay,787
276052.533062072,1498161.65916956,Okay,788
276053.706669702,1498161.66109922,Okay,789
