dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
276051.593013585,1498171.28813469,Okay,736
276051.723649913,1498171.23385049,Okay,737
276051.695550332,1498171.61137855,Okay,738
276053.858774598,1498171.44270109,Okay,739
276055.273577834,1498169.53736634,Outside_cell,740
276051.812000959,1498173.81251484,Okay,741
276049.065825282,1498174.53486903,Okay,742
276047.483210584,1498174.49149381,Okay,743
276047.431647582,1498173.91808865,Okay,744
276048.441451765,1498178.04178657,Okay,745
276048.635098347,1498178.29744505,Okay,746
276051.277436947,1498179.67709603,Okay,747
276051.612608129,1498175.73978788,Okay,748
276050.325683141,1498175.50836868,Okay,749
276050.205537475,1498175.85170739,Okay,750
276051.521058749,1498174.5068187,Okay,751
NA,NA,Distances_too_small,752
276055.886927704,1498175.47029789,Okay,753
276054.609409916,1498172.14671937,Okay,754
276054.002528617,1498175.05074157,Okay,755
