dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
276031.964747173,1498132.42197224,Outside_cell,1176
276032.216891006,1498131.77453787,Outside_cell,1177
276033.452806176,1498136.42179881,Okay,1178
276030.666207699,1498139.68505109,Outside_cell,1179
276033.243560869,1498140.56867322,Okay,1180
276031.451219712,1498138.82853497,Okay,1181
276035.105006066,1498143.22670483,Okay,1182
276036.49828927,1498140.59784573,Okay,1183
276034.65237986,1498133.42468646,Okay,1184
276034.107086906,1498132.55928267,Outside_cell,1185
276036.317695133,1498130.72413308,Outside_cell,1186
