dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
276041.651722509,1498163.21710947,Outside_cell,659
276038.182516893,1498161.15251985,Okay,660
276038.386786603,1498160.45171039,Okay,661
276038.139384862,1498160.1326225,Okay,662
276036.307623334,1498160.95259747,Okay,663
276038.251978205,1498163.11100865,Okay,664
276038.189275254,1498163.12825733,Okay,665
276038.498681622,1498162.55817216,Okay,666
276037.553043621,1498163.5332262,Okay,667
276037.060182972,1498161.41806706,Okay,668
276035.859712739,1498161.78298412,Okay,669
276035.361081184,1498162.2328761,Okay,670
276035.253410732,1498161.90515213,Okay,671
276031.856631576,1498163.46965121,Okay,672
276031.919691978,1498163.70133143,Okay,673
276032.181648619,1498164.54411904,Okay,674
276034.231030908,1498161.62495275,Okay,675
276034.406519095,1498160.98852732,Okay,676
276032.231197395,1498160.95394237,Okay,677
276030.247255971,1498160.08947034,Okay,678
276028.072358429,1498159.76643616,Outside_cell,679
