dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
276017.124744695,1498155.22928618,Okay,545
276017.74549644,1498156.44909886,Okay,546
276020.349998792,1498154.93936067,Okay,547
276021.461113988,1498155.36894086,Okay,548
276023.599088794,1498155.0795686,Okay,549
276023.104111655,1498155.94191706,Okay,550
276023.819804166,1498156.00705502,Okay,551
276024.119751096,1498156.01989741,Okay,552
276024.001177461,1498155.63660124,Okay,553
NA,NA,Corner_missing,554
276021.179014371,1498160.92225619,Okay,555
276021.040115492,1498160.72769917,Okay,556
NA,NA,Distances_too_small,557
276024.094584661,1498157.50230514,Okay,558
276026.766106537,1498159.73691073,Outside_cell,559
276024.471977595,1498159.41395722,Okay,560
