dataout_unk_x,dataout_unk_y,dataout_issue,dataout_tag
NA,NA,Corner_missing,804
276025.954964574,1498190.76382317,Okay,805
276026.717647864,1498189.71329721,Okay,806
276028.191022545,1498190.73255345,Outside_cell,807
276026.540317327,1498188.34796124,Okay,808
276026.525323782,1498187.60100722,Okay,809
276029.304777185,1498186.68339115,Okay,810
276029.744301729,1498188.10174933,Okay,996
276030.667798483,1498189.1083394,Okay,997
276030.306486699,1498190.87349695,Outside_cell,998
276030.891400888,1498189.6106515,Okay,999
276032.31202712,1498189.61433875,Outside_cell,1000
276034.4991133,1498189.41896493,Outside_cell,1275
276031.817609961,1498187.24500463,Outside_cell,1276
276030.995391546,1498185.59122533,Outside_cell,1277
276031.352801987,1498183.997065,Outside_cell,1278
276032.422539669,1498183.71175689,Outside_cell,1279
276030.393213089,1498183.34361533,Outside_cell,1280
276030.130066267,1498184.26898416,Outside_cell,1281
276029.039173413,1498183.48204377,Outside_cell,1282
276028.469806311,1498182.48664871,Outside_cell,1283
276026.218220107,1498181.67459133,Outside_cell,1284
276026.335022806,1498180.95383094,Outside_cell,1285
276031.137517535,1498181.20951104,Outside_cell,1286
276026.856817463,1498185.37903119,Okay,1287
276026.243464052,1498185.5198147,Okay,1288
276025.903724088,1498185.51184533,Okay,1289
276025.637828998,1498185.34999069,Okay,1290
276024.809794465,1498185.32802689,Okay,1291
276024.407366658,1498184.02964496,Okay,1292
276025.614444874,1498184.03861801,Okay,1293
276023.130865746,1498182.36217805,Outside_cell,1294
NA,NA,Corner_missing,1295
