Point_name,corner_x,corner_y
a0,354995.8079,1665352.369
a1,NA,NA
a2,354993.657,1665369.648
a3,354995.025081,1665379.9753
a4,354995.383014,1665388.5001
b0,354987.1834,1665355.373
b1,354985.005107,1665361.46851
b2,354984.3801,1665368.593
b3,354984.7241,1665379.641
b4,354984.0272,1665388.608
c0,354974.2872,1665354.696
c1,354974.7425,1665361.15
c2,354974.770342,1665370.36143
c3,354975.809605,1665379.61308
c4,354975.096063,1665390.09633
d0,354965.0183,1665355.273
d1,354964.77044175,1665362.0446075
d2,354964.515153,1665370.47709
d3,354963.956043,1665381.01643
d4,354964.2409,1665391.056
e0,354954.388162,1665353.66053
e1,354954.805814,1665361.27834
e2,354955.5503,1665371.448
e3,354954.838151,1665381.36267
e4,354955.029728,1665390.89509
z*a0,NA,NA
z*a4,NA,NA
z*e0,354943.332,1665345.089
z*e4,354944.1344,1665401.841
z0a,355003.744,1665355.048
z0b,354983.955856,1665344.94541
z0c,354973.438195,1665345.01002
z0d,354963.6831,1665345.803
z0e,NA,NA
z4a,354995.5942,1665396.736
z4b,354986.2585,1665397.469
z4c,NA,NA
z4d,NA,NA
za0,354994.2987,1665343.88
za1,NA,NA
za2,355004.4105,1665370.607
za3,355004.7687,1665380.464
za4,355003.2626,1665389.198
ze0,354943.2675,1665352.215
ze1,354942.995588,1665361.19876
ze2,354943.57276,1665370.56917
ze3,354943.319612,1665380.81996
ze4,354955.2238,1665401.21
