Point_name,corner_x,corner_y
a0,309714.7641,1565681
a1,309722.8862,1565684.282
a2,309734.7464,1565686.75
a3,309743.8111,1565689.349
a4,309753.1775,1565691.686
b0,309719.9881,1565670.384
b1,NA,NA
b2,309736.1244,1565677.065
b3,309746.5193,1565682.094
b4,309756.751759,1565684.5232
c0,309723.123176,1565660.85252
c1,309730.2323,1565662.785
c2,309739.1916,1565667.338
c3,309749.6991555,1565672.16104
c4,309759.19632775,1565674.78152
d0,309723.8191,1565652.789
d1,309736.5279,1565653.958
d2,309744.6213,1565657
d3,309752.879011,1565662.22808
d4,309762.749084688,1565665.04065
e0,309728.122,1565643.277
e1,309736.3087,1565645.906
e2,309747.0111,1565648.728
e3,309754.319,1565653.4
e4,309765.7887,1565656.328
z*a0,309702.121138,1565687.0304
z*a4,NA,NA
z*e0,309723.5304,1565631.005
z*e4,309778.6981,1565650.165
z0a,309705.3578,1565677.576
z0b,309710.6542,1565667.708
z0c,309715.5259,1565657.286
z0d,309715.6761,1565648.595
z0e,NA,NA
z4a,309761.6891,1565695.136
z4b,309763.8546,1565687.344
z4c,309768.6935,1565677.402
z4d,309773.1323,1565666.825
za0,309711.4856,1565690.521
za1,NA,NA
za2,NA,NA
za3,NA,NA
za4,NA,NA
ze0,309731.535943,1565634.20703
ze1,NA,NA
ze2,NA,NA
ze3,NA,NA
ze4,309769.4405,1565647.205
