X,date,notebook,notebookpage,mappingteam,dataentryby,island,site,mapfilename,quaddiag,quadcorner,tagnum,species,dbh,phenology,lefttarget,leftdist,righttarget,rightdist,notes,entby,dateent,proofby,dateproof,quadcorn,tag,RKPx,RKPy,RKPsource,LKPx,LKPy,LKPsource
5490,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6570,neiso,191,fr,e4,9.56,e3,0.3,NA,NA,NA,NA,NA,e3,6570,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5491,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6571,guamia,NA,fr,e4,10.33,e3,1.94,**very close together,NA,NA,NA,NA,e3,6571,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5492,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6572,guamia,79,fl,e4,10.71,e3,2.12,**very close together,NA,NA,NA,NA,e3,6572,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5493,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6573,eug,93,nff,e4,6.19,e3,4.24,NA,NA,NA,NA,NA,e3,6573,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5494,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6574,eug,40,dns,e4,5.98,e3,4.25,NA,NA,NA,NA,NA,e3,6574,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5495,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E3,6575,eug,103,nff,e4,5.79,e3,4.05,NA,NA,NA,NA,NA,e3,6575,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5496,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E4,6576,eug,80,dns,e4,5.21,e3,5.02,NA,NA,NA,NA,NA,e4,6576,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5497,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E4,6577,eug,64,nff,e4,4.38,e3,5.85,NA,NA,NA,NA,NA,e4,6577,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5498,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E4,6578,eug,38,nff,e4,4.27,e3,5.89,NA,NA,NA,NA,NA,e4,6578,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
5499,40210,Rota Mapping Notebook - 01 Feb 2010,2,JD; EH,Eliza,rota,grvpt,NA,d3-e4,E4,6579,eug,32,nff,e4,3.81,e3,6.17,NA,NA,NA,NA,NA,e4,6579,309754.319,1565653.4,GPS,309765.7887,1565656.328,GPS
