island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,a0-z*a0,aglaia,9.61,1.12,9083,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,aglaia,8.15,2.2,9084,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,aglaia,7.74,2.55,9085,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,guamia,7.4,2.95,9086,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,cyno,7.96,2.91,9087,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,pap,7.99,2.65,9088,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,pap,8.42,2.91,9089,309714.7641,1565681,309711.4856,1565690.521
rota,grvpt,a0-z*a0,guamia,8.62,10.73,9090,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,pap,3.94,8.98,9091,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,ifit,3.8,7.77,9092,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,cyno,2.06,10.38,9093,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,guamia,4.57,5.95,9094,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,pap,5.62,5.96,9095,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,premna,10.65,0.91,9096,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,eug,10.49,2.13,9097,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,cyno,9.15,2.38,9098,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,cyno,11.97,4.82,9099,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,premna,11.48,4.67,9100,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,guamia,8.64,4.6,9101,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,aglaia,8.76,5.06,9102,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,pap,9.26,5.87,9103,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,pap,10.2,7.49,9104,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,aglaia,11.97,5.92,9105,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,pap,14.25,9.16,9106,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,aglaia,12.49,8.88,9107,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,leuc,10.18,8.32,9108,309702.121138,1565687.0304,309705.3578,1565677.576
rota,grvpt,a0-z*a0,leuc,10.65,9.05,9109,309702.121138,1565687.0304,309705.3578,1565677.576
