island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,a3-b4,ifit,9.47,2.37,9015,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,leuc,9.79,1.6,9016,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,guamia,7.54,2.7,9017,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,cyno,6.24,3.97,9018,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,guamia,3.19,9.3,9019,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,mel,4.91,9.83,9020,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,guamia,11,11.16,9021,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,ifit,10.16,9.94,9022,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,ifit,8.28,10.01,9023,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,ifit,6.51,10.67,9024,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,neiso,9.7,12.1,9025,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,premna,8.95,12.39,9026,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,guamia,9.46,12.84,9027,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,eug,4.58,9.79,9135,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,guamia,6.04,10.31,9136,309753.1775,1565691.686,309743.8111,1565689.349
rota,grvpt,a3-b4,leuc,3.9,6.15,9137,309753.1775,1565691.686,309743.8111,1565689.349
