island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,a3-za4,leuc,9.34,10.31,9153,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,leuc,7.58,7.58,9154,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,guamia,10.14,4.03,9155,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,psych,8.76,3.46,9156,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,leuc,6.33,6.71,9157,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,?,4.19,5.91,9158,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,mel,3.57,8.35,9159,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,guamia,2.95,8.79,9160,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,tri,2.93,7.72,9161,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,pap,3.82,10.37,9162,309743.8111,1565689.349,309753.1775,1565691.686
rota,grvpt,a3-za4,leuc,8.24,9.99,9163,309743.8111,1565689.349,309753.1775,1565691.686
