island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,a4-z4b,guamia,7.2,2.89,6999,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,7.57,2.82,7000,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,pap,9.12,3.13,9001,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,6.79,5.16,9002,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,6.81,5.66,9003,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,mayt,7.13,6.51,9004,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,eug,8.34,5.9,9005,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,11.07,6.38,9006,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,pap,10.45,8.44,9007,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,ifit,9.86,8.93,9008,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,ifit,9.08,8.94,9009,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,psych,6.1,7.66,9010,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,8.91,11.69,9011,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,psych,4.07,9.49,9012,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,guamia,3.18,9.39,9013,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,a4-z4b,ifit,2.84,7.1,9014,309763.8546,1565687.344,309756.751759,1565684.5232
