island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,b2-c3,tri,8.26,1.03,6916,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,7.65,1.96,6917,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,7.39,2.18,6918,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,6.96,2.47,6919,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,7.07,2.1,6920,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,6.22,3.27,6921,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,premna,6.96,4.34,6922,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,8.43,4.71,6923,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,8.55,5.49,6924,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,7.6,6.78,6925,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,7.52,7.31,6926,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,7.27,7.33,6927,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,other,8.44,4.7,6928,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,9.08,7.87,6929,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,10.22,11.44,6930,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,mayt,9.09,11.1,6931,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,premna,8.4,9.37,6932,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,8.29,9.55,6933,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,8.62,9.2,6934,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,7.47,8.75,6935,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,7.9,9.06,6936,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,6.64,11.12,6937,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,5.8,8.3,6938,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,ifit,4.37,7.81,6939,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,mel,4.21,6.91,6940,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,eug,4.91,4.78,6941,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,5.23,3.99,6942,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,5.1,4.26,6943,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,3.22,6.38,6944,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,pap,2.79,6.56,6945,309739.1916,1565667.338,309749.6991555,1565672.16104
rota,grvpt,b2-c3,guamia,3.57,8.98,6946,309739.1916,1565667.338,309749.6991555,1565672.16104
