island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,b4-z4c,eug,9.15,1.06,6976,309759.19632775,1565674.78152,309768.6935,1565677.402
rota,grvpt,b4-z4c,guamia,7.15,11.3,6977,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,psych,6.66,9.84,6978,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,7.57,10.27,6979,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,6.58,8.3,6980,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,7.56,8.36,6981,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,8.74,6.64,6982,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,8.54,6.16,6983,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,10.86,6.37,6984,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,9.86,6.32,6985,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,9.75,5.94,6986,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,8,6.11,6987,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,ifit,7.1,6.87,6988,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,premna,7.17,5.72,6989,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,neiso,7.15,4.03,6990,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,6.11,6.29,6991,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,ifit,5.52,5.81,6992,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,10.51,11.93,6993,309768.6935,1565677.402,309763.8546,1565687.344
rota,grvpt,b4-z4c,psych,3.35,8.54,6994,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,ifit,3.07,7.45,6995,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,guamia,2.19,7.88,6996,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,eug,1.38,8.93,6997,309763.8546,1565687.344,309756.751759,1565684.5232
rota,grvpt,b4-z4c,ifit,1.13,9.71,6998,309763.8546,1565687.344,309756.751759,1565684.5232
