island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,c0-d1,pap,0.76,8.31,6813,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,mel,2.55,6.82,6814,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,neiso,3.23,5.9,6815,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,4.53,6.25,6816,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,neiso,3.42,7.08,6817,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,8.49,10.89,6818,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,8.6,8.85,6819,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,pap,11.11,10.7,6820,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,9.32,12.31,6821,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,mel,11.54,8.74,6822,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,neiso,10.98,10.41,6823,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,mel,11.09,6.71,6824,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,10.83,5.98,6825,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,9.76,8.4,6826,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,10.33,7.31,6827,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,guamia,11.7,7.63,6828,309723.8191,1565652.789,309736.5279,1565653.958
rota,grvpt,c0-d1,neiso,6.44,3.14,6830,309723.8191,1565652.789,309736.5279,1565653.958
