island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,d2-e3,neiso,8.69,1.28,6588,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,7.33,2.71,6589,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,6.26,3.78,6590,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,7.24,3.88,6591,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,pap,8.34,3.66,6592,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,psych,7.53,4.77,6593,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,8.07,4.58,6594,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,10.65,3.35,6595,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,mayt,11.32,6.03,6596,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,premna,10.34,7.47,6597,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,10,6.9,6598,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,11.3,8.15,6599,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,pap,11.35,8.7,6600,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,12.95,10.3,6601,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,ifit,13.37,9.67,6602,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,pap,13.55,10.05,6603,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,11.18,10.42,6604,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,pap,9.57,10.62,6605,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,ifit,8.46,11.4,6606,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,eug,5.68,9.32,6607,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,pap,7.59,7.5,6608,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,ifit,7.82,7.54,6609,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,6.99,6.98,6610,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,eug,5.6,5.47,6611,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,neiso,3.64,7.05,6612,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,ifit,3.23,7.41,6613,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,neiso,4.22,9.26,6614,309747.0111,1565648.728,309754.319,1565653.4
rota,grvpt,d2-e3,guamia,1.57,8.44,6615,309747.0111,1565648.728,309754.319,1565653.4
