island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,grvpt,e2-ze3,neiso,8.27,3.13,9243,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,premna,7.47,2.33,9244,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,neiso,6.94,3.2,9245,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,eug,9.8,4.15,9246,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,mor,7.99,5.52,9247,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,9.79,8.03,9248,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,11.31,8.09,9249,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,13.5,9.81,9250,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,12.37,8.32,9251,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,neiso,9.23,9.49,9252,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,tri,8.97,9.96,9253,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,7.91,8.54,9254,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,10.5,10.89,9255,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,10.91,11.67,9256,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,11.58,11.54,9257,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,premna,11.29,11.91,9258,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,ifit,9.36,12,9259,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,premna,9.07,11.64,9260,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,neiso,6.55,10.13,9261,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,neiso,5.71,10.44,9262,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,7.25,8.46,9263,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,4.13,6.13,9264,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,eug,4.21,6.61,9265,309754.319,1565653.4,309747.0111,1565648.728
rota,grvpt,e2-ze3,guamia,1.58,8.38,9266,309754.319,1565653.4,309747.0111,1565648.728
