Point_name,corner_x,corner_y
a0,300900.8091,1565049.016
a1,300904.634969,1565038.63108
a2,300907.4329,1565028.08
a3,300911.1254,1565019.381
a4,300910.3982,1565008.65
b0,300911.9849,1565050.29475
b1,300916.343,1565040.469
b2,300918.1073,1565030.464
b3,300919.5169,1565019.093
b4,300920.071,1565008.926
c0,300919.5178,1565053.209
c1,300926.070227,1565042.36601
c2,300927.1523,1565031.611
c3,300928.247965,1565020.35702
c4,300929.306,1565012.866
d0,300930.704596,1565054.27955
d1,300936.047188,1565043.11441
d2,300937.060339,1565032.93528
d3,300937.0479,1565019.878
d4,300939.562236,1565013.40083
e0,300940.0561,1565055.367
e1,300944.187988,1565045.13157
e2,NA,NA
e3,300947.8287,1565024.222
e4,300948.5891,1565014.652
z*a0,300889.2633,1565056.104
z*a4,300902.183214,1564996.84958
z*e0,NA,NA
z*e4,NA,NA
z0a,300890.548459,1565046.58884
z0b,300911.2697,1565058.485
z0c,300919.5108,1565060.976
z0d,300927.9194,1565062.872
z0e,NA,NA
z4a,300901.3365,1565006.472
z4b,300921.907,1564999.096
z4c,300931.7371,1565002.911
z4d,NA,NA
za0,300901.321,1565058.227
za1,300893.79913,1565036.17343
za2,300897.8832,1565024.791
za3,300899.389816,1565016.21625
za4,NA,NA
ze0,300938.3561,1565065.008
ze1,300953.0077,1565045.654
ze2,300954.0598,1565037.585
ze3,300957.1759,1565026.614
ze4,300951.6824,1565005.132
