island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,a0-z*a0,premna,2.24,7.41,14301,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,aglaia,3.65,6.33,14302,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,psych,7.75,4.51,14303,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,aglaia,7.21,4.43,14304,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,aglaia,7.1,6.09,14305,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,guamia,5.16,6.01,14306,300890.548459,1565046.58884,300889.2633,1565056.104
rota,isa,a0-z*a0,aglaia,5.66,4.29,14307,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,premna,8.2,4.69,14308,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,tri,7.1,5.35,14309,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,tri,7.56,5.33,14310,300889.2633,1565056.104,300890.548459,1565046.58884
rota,isa,a0-z*a0,aglaia,4.06,9.97,14311,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,aglaia,4.35,10.1,14312,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,aglaia,3.94,10.47,14313,300890.548459,1565046.58884,300900.8091,1565049.016
rota,isa,a0-z*a0,aglaia,5.78,6.59,14314,300890.548459,1565046.58884,300900.8091,1565049.016
