island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,a1-b2,mor,11.78,8.64,14177,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,11.38,10.27,14178,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,aglaia,6.6,7.25,14179,300916.343,1565040.469,300904.634969,1565038.63108
rota,isa,a1-b2,premna,4.63,9.74,14180,300916.343,1565040.469,300904.634969,1565038.63108
rota,isa,a1-b2,mor,7.76,1.99,14181,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,psych,6.02,3.75,14182,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,5.36,4.82,14183,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,5.27,4.82,14184,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,eug,3.55,6.23,14185,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,premna,5.36,7.11,14186,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,premna,4.8,7.2,14187,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,premna,3.3,7.99,14188,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,8.23,11.41,14189,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,tri,8.23,11.41,14190,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,7.76,10.11,14191,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,7.6,9.09,14192,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,7.57,8.12,14193,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,7.58,7.73,14194,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,8,8.16,14195,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,mor,7.91,7.28,14196,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,aglaia,8.52,10.64,14197,300907.4329,1565028.08,300918.1073,1565030.464
rota,isa,a1-b2,aglaia,8.98,1.64,14328,300904.634969,1565038.63108,300907.4329,1565028.08
