island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,b0-c1,guamia,2.51,6.96,14267,300916.343,1565040.469,300926.070227,1565042.36601
rota,isa,b0-c1,guamia,2.95,6.43,14268,300916.343,1565040.469,300926.070227,1565042.36601
rota,isa,b0-c1,premna,2.97,6.24,14269,300916.343,1565040.469,300926.070227,1565042.36601
rota,isa,b0-c1,aglaia,3.87,5.63,14270,300916.343,1565040.469,300926.070227,1565042.36601
rota,isa,b0-c1,aglaia,5.59,8.17,14271,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,aglaia,7.35,6.11,14272,300926.070227,1565042.36601,300916.343,1565040.469
rota,isa,b0-c1,aglaia,8.77,7.35,14273,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,aglaia,9.13,7.79,14274,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,aglaia,11.35,8,14275,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,tri,11.72,8.45,14276,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,psych,12.4,8.85,14277,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,psych,12.28,8.49,14278,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,eug,1.55,8.33,14279,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,aglaia,1.37,8.5,14280,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,premna,0.87,9.36,14281,300911.9849,1565050.29475,300916.343,1565040.469
rota,isa,b0-c1,aglaia,0.5,9.94,14282,300911.9849,1565050.29475,300916.343,1565040.469
