island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,b4-z4c,guamia,6.3,4.15,14019,300931.7371,1565002.911,300929.306,1565012.866
rota,isa,b4-z4c,tri,5.79,4.91,14020,300931.7371,1565002.911,300929.306,1565012.866
rota,isa,b4-z4c,mor,6.21,3.34,14021,300929.306,1565012.866,300929.306,1565012.866
rota,isa,b4-z4c,mor,5.89,3.87,14022,300929.306,1565012.866,300929.306,1565012.866
rota,isa,b4-z4c,mor,4.29,5.25,14023,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,tri,3.79,5.74,14024,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,mor,3.56,6.07,14025,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,mor,3.01,6.98,14026,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,mor,4.04,6.08,14027,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,mor,4.83,5.03,14028,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,mor,4.2,7.05,14029,300929.306,1565012.866,300920.071,1565008.926
rota,isa,b4-z4c,aglaia,4.2,6.72,14030,300920.071,1565008.926,300921.907,1564999.096
rota,isa,b4-z4c,aglaia,9.81,4,14031,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,aglaia,9.98,3.96,14032,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,aglaia,8.55,2.39,14033,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,guamia,8.39,2.21,14034,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,aglaia,6.98,4.09,14035,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,aglaia,6.71,4.55,14036,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,guamia,5.89,4.96,14037,300921.907,1564999.096,300921.907,1564999.096
rota,isa,b4-z4c,premna,6.89,7.22,14038,300929.306,1565012.866,300920.071,1565008.926
