island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,c0-d1,premna,9.37,3.22,14255,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,guamia,9.5,4.01,14256,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,guamia,8.9,5.18,14257,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,7.52,5.03,14258,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,7.96,4.18,14259,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,7.5,4.76,14260,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,6.73,5,14261,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,6.22,5.86,14262,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,5.54,6.9,14263,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,aglaia,3.2,8.83,14264,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,tri,4.44,7.97,14265,300936.047188,1565043.11441,300930.704596,1565054.27955
rota,isa,c0-d1,guamia,2.33,10.13,14266,300936.047188,1565043.11441,300930.704596,1565054.27955
