island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,d0-z0e,aglaia,7.41,2.52,14330,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,mor,6.14,3.76,14332,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,6.63,5.01,14333,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,guamia,9.27,4.47,14334,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,9,4.92,14335,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,9.01,5.76,14336,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,psych,10.1,7.59,14337,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,guamia,9.49,9,14338,300927.9194,1565062.872,300930.704596,1565054.27955
rota,isa,d0-z0e,guamia,9.76,1.74,14339,300927.9194,1565062.872,300930.704596,1565054.27955
rota,isa,d0-z0e,premna,9.85,2.25,14340,300927.9194,1565062.872,300930.704596,1565054.27955
rota,isa,d0-z0e,guamia,9.76,2.78,14341,300927.9194,1565062.872,300930.704596,1565054.27955
rota,isa,d0-z0e,aglaia,8.33,8.7,14342,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,6.72,7.38,14343,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,4.44,7.95,14344,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,4.02,6.74,14345,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,2.8,7.15,14346,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,aglaia,2.94,7.38,14347,300930.704596,1565054.27955,300940.0561,1565055.367
rota,isa,d0-z0e,tri,3.19,6.23,14348,300930.704596,1565054.27955,300940.0561,1565055.367
