island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,d1-e2,premna,7.02,2.22,14222,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,premna,8.81,3.72,14223,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,aglaia,8.5,3.84,14224,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,aglaia,4.76,4.58,14225,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,mel,4.83,4.84,14226,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,premna,4.65,5.75,14227,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,premna,9.27,8.78,14228,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,aglaia,10.19,7.91,14229,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,aglaia,7.47,5.31,14230,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,premna,10.76,5.64,14231,300936.047188,1565043.11441,300937.060339,1565032.93528
rota,isa,d1-e2,aglaia,10.56,4.72,14232,300936.047188,1565043.11441,300937.060339,1565032.93528
