island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
rota,isa,e2-ze3,tri,3.4,6.99,14115,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,aglaia,2.13,8.15,14116,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,eug,1.66,8.48,14117,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,eug,2.76,9.08,14118,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,eug,5.74,8.14,14119,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,mel,5.77,6.6,14120,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,tri,3.94,8.32,14121,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,2.62,9.59,14122,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,guamia,3.33,8.64,14123,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,mel,1.93,10.67,14124,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,3.79,10.17,14125,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,4.72,10.77,14126,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,4.43,9.45,14127,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,5.61,9.08,14128,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,tri,4.74,10.14,14129,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,premna,5.12,9.01,14130,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,premna,6.28,7.69,14131,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,premna,6.1,7.65,14132,300957.1759,1565026.614,300954.0598,1565037.585
rota,isa,e2-ze3,premna,9.88,4.32,14133,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,premna,8.07,4.58,14134,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,eug,8.06,4.94,14135,300947.8287,1565024.222,300957.1759,1565026.614
rota,isa,e2-ze3,aglaia,9.07,1.98,14136,300947.8287,1565024.222,300957.1759,1565026.614
