X,date,notebook,notebookpage,mappingteam,dataentryby,island,site,mapfilename,quaddiag,quadcorner,tagnum,species,dbh,phenology,lefttarget,leftdist,righttarget,rightdist,notes,entby,dateent,proofby,dateproof,quadcorn,tag,RKPx,RKPy,RKPsource,LKPx,LKPy,LKPsource
10280,40479,Tinian Mapping 33,152,NA,RV,tinian,japc,NA,outside grid,outside grid,11409,pap,196,fr,z0e,10.91,z*e0,12.59,outside buffer @ CHIG near S11 & S11X,NA,NA,NA,40672,outside grid,11409,353383.96,1663145.426,GPS,353390.6125,1663141.259,GPS
10281,40479,Tinian Mapping 33,152,NA,RV,tinian,japc,NA,outside grid,outside grid,11410,pap,166,fr,z0e,9.94,z*e0,11.57,outside buffer @ CHIG near S11 & S11X,NA,NA,NA,40672,outside grid,11410,353383.96,1663145.426,GPS,353390.6125,1663141.259,GPS
10282,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z4E,11411,cyno,NA,nff,e4,6.79,z4e,4.6,NA,NA,NA,NA,40672,z4e,11411,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10283,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z4E,11412,cyno,130,nff,e4,6.79,z4e,4.09,NA,NA,NA,NA,40672,z4e,11412,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10284,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z*E4,11413,cyno,95,nff,z4e,NA,ze4,9.37,NA,NA,NA,NA,40672,z*e4,11413,353354.548907,1663109.40823,AddedInGIS,353354.778578,1663095.79906,GPS_adjusted
10285,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z*E4,11414,cyno,NA,nff,z*e4,3.4,ze4,10,NA,NA,NA,NA,40672,z*e4,11414,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10286,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z*E4,11415,cyno,NA,nff,z*e4,4.36,ze4,7.97,NA,NA,NA,NA,40672,z*e4,11415,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10287,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z*E4,11416,cyno,92,nff,z*e4,3.36,ze4,7.06,NA,NA,NA,NA,40672,z*e4,11416,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10288,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,Z*E4,11417,eug,NA,nff,z*e4,5,ze4,7.42,NA,NA,NA,NA,40672,z*e4,11417,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10289,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,ZE4,11418,cyno,NA,nff,z*e4,5.8,ze4,4.33,NA,NA,NA,NA,40672,ze4,11418,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10290,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,ZE4,11419,cyno,96,nff,z*e4,10.01,ze4,0,NA,NA,NA,NA,40672,ze4,11419,353354.548907,1663109.40823,AddedInGIS,353347.001499,1663102.08861,GPS_adjusted
10291,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,ZE4,11420,mel,42,nff,e4,6.02,z4e,10.59,located on top of large boulder (could not locate tree- tangled in many other trees-so tagged stem),NA,NA,NA,40672,ze4,11420,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10292,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11421,cyno,145,nff,e4,3.71,z4e,7.97,NA,NA,NA,NA,40672,e4,11421,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10293,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11422,cyno,NA,nff,e4,4.06,z4e,7.75,NA,NA,NA,NA,40672,e4,11422,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10294,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11423,cyno,NA,nff,e4,2.69,z4e,8.49,NA,NA,NA,NA,40672,e4,11423,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10295,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11424,cyno,NA,nff,e4,3.12,z4e,9.26,NA,NA,NA,NA,40672,e4,11424,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10296,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11425,cyno,65,nff,e4,1.21,z4e,9.48,NA,NA,NA,NA,40672,e4,11425,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10297,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11426,cyno,295,nff,e4,1.55,z4e,8.91,measured 28 cm below tag,NA,NA,NA,40672,e4,11426,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10298,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11427,psych,104,fr,e4,2.03,z4e,8.53,NA,NA,NA,NA,40672,e4,11427,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
10299,40463,Tinian Mapping 33,70,SF;AM,RV,tinian,japc,NA,e4-z*e4,E4,11428,cyno,52,nff,e4,0.83,z4e,9.92,NA,NA,NA,NA,40672,e4,11428,353354.778578,1663095.79906,GPS_adjusted,353362.218596,1663102.81313,GPS_adjusted
