Point_name,corner_x,corner_y
a0,371608.798674,1686849.35693
a1,371617.3158,1686844.026
a2,371626.2289,1686842.885
a3,371634.576,1686837.2
a4,371644.0807,1686835.531
b0,371611.1735,1686855.772
b1,371617.7815,1686851.753
b2,371629.0713,1686848.771
b3,371639.201302,1686846.2348
b4,371649.061942,1686842.29086
c0,371615.8583,1686864.537
c1,371626.1682,1686860.746
c2,371635.7394,1686857.02
c3,371645.08962,1686855.1251
c4,371654.6988,1686853.578
d0,371619.497424,1686874.823
d1,371629.8833,1686870.39
d2,371639.995773,1686867.23076
d3,371649.9563,1686864.329
d4,371658.410469,1686862.70255
e0,371622.736395,1686883.44417
e1,371633.5965,1686877.898
e2,371643.117547,1686875.61104
e3,371652.2804,1686871.028
e4,371661.113442,1686867.83241
z*a0,NA,NA
z*a4,371650.824896,1686820.03096
z*e0,NA,NA
z*e4,371675.0168,1686869.947
z0a,NA,NA
z0b,NA,NA
z0c,371605.5531,1686867.141
z0d,371608.6997,1686877.988
z0e,371612.6351,1686885.596
z4a,371655.2803,1686830.35
z4b,371660.151506,1686837.55876
z4c,371664.8763,1686849.117
z4d,371668.8773,1686859.376
za0,371605.687176,1686839.25751
za1,371614.7919,1686833.42
za2,371622.894043,1686831.14959
za3,371631.879356,1686827.40424
za4,371640.28368,1686824.60024
ze0,371628.269139,1686893.5305
ze1,371635.8285,1686889.411
ze2,371645.94124,1686883.73286
ze3,371653.7194,1686876.758
ze4,371663.7266,1686875.734
