X,date,notebook,notebookpage,mappingteam,dataentryby,island,site,mapfilename,quaddiag,quadcorner,tagnum,species,dbh,phenology,lefttarget,leftdist,righttarget,rightdist,notes,entby,dateent,proofby,dateproof,quadcorn,tag,RKPx,RKPy,RKPsource,LKPx,LKPy,LKPsource
2280,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2301,cyno,45,nff,a1,9,a0,2.9,NA,NA,NA,NA,NA,a0,2301,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2281,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2302,cyno,63,nff,a1,7.62,a0,2.49,NA,NA,NA,NA,NA,a0,2302,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2282,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2303,cyno,89,nff,a1,5.4,a0,3.94,NA,NA,NA,NA,NA,a0,2303,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2283,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2304,cyno,77,nff,a1,7.11,a0,4.25,NA,NA,NA,NA,NA,a0,2304,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2284,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2305,cyno,43,nff,a1,6.11,a0,4.49,NA,NA,NA,NA,NA,a0,2305,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2285,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2306,cyno,102,nff,a1,7.98,a0,4.77,NA,NA,NA,NA,NA,a0,2306,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2286,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2307,guamia,76,fr,a1,7.83,a0,4.99,NA,NA,NA,NA,NA,a0,2307,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2287,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2308,cyno,44,nff,a1,8.53,a0,4.29,NA,NA,NA,NA,NA,a0,2308,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2288,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A0,2309,guamia,NA,fr,a1,8.98,a0,3.79,NA,NA,NA,NA,NA,a0,2309,371608.798674,1686849.35693,GPSadjustedInGIS,371617.3158,1686844.026,GPS
2289,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2310,cyno,100,nff,a0,6.07,b0,3.8,NA,NA,NA,NA,NA,b0,2310,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2290,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2311,cyno,41,nff,a0,7,b0,3.59,NA,NA,NA,NA,NA,b0,2311,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2291,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2312,leuc,108,fr,a0,5.9,b0,6.28,NA,NA,NA,NA,NA,b0,2312,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2292,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2313,leuc,141,fr,a0,7.38,b0,4.97,NA,NA,NA,NA,NA,b0,2313,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2293,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2314,guamia,33,fr,a0,7.62,b0,5.45,Wire tagged,NA,NA,NA,NA,b0,2314,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2294,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2315,cyno,62,nff,a0,8.09,b0,4.01,NA,NA,NA,NA,NA,b0,2315,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2295,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2316,guamia,123,fr,a0,8.22,b0,2.94,Check tree (poss. Leuc?) uphill from 2316; looked dead so we didn't tag,NA,NA,NA,NA,b0,2316,371611.1735,1686855.772,GPS,371608.798674,1686849.35693,GPSadjustedInGIS
2296,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2317,cyno,52,nff,b0,1.78,b1,7.58,NA,NA,NA,NA,NA,b0,2317,371617.7815,1686851.753,GPS,371611.1735,1686855.772,GPS
2297,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2318,cyno,NA,nff,b0,0.97,b1,8.24,NA,NA,NA,NA,NA,b0,2318,371617.7815,1686851.753,GPS,371611.1735,1686855.772,GPS
2298,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2319,leuc,140,nff,b0,2.05,b1,8.95,Growing horizontal along ground - tagged top,NA,NA,NA,NA,b0,2319,371617.7815,1686851.753,GPS,371611.1735,1686855.772,GPS
2299,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B0,2320,mayt,NA,nff,b0,2.31,b1,6.58,Tagged on first stem (with DBH 53) because only sturdy stem,NA,NA,NA,NA,b0,2320,371617.7815,1686851.753,GPS,371611.1735,1686855.772,GPS
2300,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2321,mayt,NA,fl,b0.5,4.31,b1,1.98,NA,NA,NA,NA,NA,b1,2321,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2301,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2322,guamia,77,fr,b0.5,6.12,b1,4.11,NA,NA,NA,NA,NA,b1,2322,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2302,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2323,cyno,78,nff,b0.5,6.03,b1,4.29,NA,NA,NA,NA,NA,b1,2323,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2303,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2324,aidia,60,nff,b0.5,5.62,b1,4.49,NA,NA,NA,NA,NA,b1,2324,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2304,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2325,cyno,69,nff,b0.5,5.03,b1,4.19,NA,NA,NA,NA,NA,b1,2325,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2305,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2326,guamia,94,fr,b0.5,4.6,b1,4.06,NA,NA,NA,NA,NA,b1,2326,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2306,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2327,cyno,58,nff,b0.5,5.18,b1,5.43,NA,NA,NA,NA,NA,b1,2327,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2307,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2328,aidia,76,nff,b0.5,3.11,b1,3.92,NA,NA,NA,NA,NA,b1,2328,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2308,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2329,eug,9,nff,b0.5,3.11,b1,4.17,Wire tagged below breast height on woodier part of trunk,NA,NA,NA,NA,b1,2329,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2309,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2330,cyno,98,nff,b0.5,1.18,b1,3.31,Measured DBH at 135 cm and tagged 10 cm above where measured,NA,NA,NA,NA,b1,2330,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2310,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2331,guamia,42,flfr,b0.5,1.63,b1,2.7,NA,NA,NA,NA,NA,b1,2331,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2311,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2332,leuc,124,fr,b0.5,1.74,b1,2.48,NA,NA,NA,NA,NA,b1,2332,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2312,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,B1,2333,cyno,NA,nff,b0.5,1.57,b1,2.22,NA,NA,NA,NA,NA,b1,2333,371617.7815,1686851.753,GPS,371614.4775,1686853.7625,midpoint.extrapolated.in.R
2313,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A1,2334,cyno,89,nff,b1,6.34,a1,5.13,NA,NA,NA,NA,NA,a1,2334,371617.3158,1686844.026,GPS,371617.7815,1686851.753,GPS
2314,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a0-b1,A1,2335,cyno,47,nff,b1,9.53,a1,1.5,NA,NA,NA,NA,NA,a1,2335,371617.3158,1686844.026,GPS,371617.7815,1686851.753,GPS
2315,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2336,?,NA,fr,a1,1.36,b1,8.44,NA,NA,NA,NA,NA,a1,2336,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2316,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2337,aidia,61,nff,a1,2.25,b1,8.23,NA,NA,NA,NA,NA,a1,2337,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2317,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2338,cyno,115,nff,a1,2.62,b1,8.08,NA,NA,NA,NA,NA,a1,2338,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2318,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2339,cyno,40,nff,a1,2.05,b1,8.05,NA,NA,NA,NA,NA,a1,2339,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2319,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2340,cyno,NA,nff,a1,2.14,b1,10.15,Surrounded my fig.  Maybe multistemmed or maybe multiple trees.  Assumed multistemmed (3 stems total); but could not measure one stem because it was completely surrounded ,NA,NA,NA,NA,a1,2340,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2320,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2341,cyno,NA,nff,a2,7.06,a1,4.94,NA,NA,NA,NA,NA,a1,2341,371617.3158,1686844.026,GPS,371626.2289,1686842.885,GPS
2321,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2342,aidia,NA,nff,a1,5.32,b1,6.2,First DBH (69) measured slightly above breast height (right above crook),NA,NA,NA,NA,a1,2342,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2322,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2343,cyno,54,nff,a1,5.94,b1,6.44,NA,NA,NA,NA,NA,a1,2343,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2323,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,A1,2344,aidia,45,nff,a2,5.14,a1,4.43,Fig entwined.  Measured with fig (total DBH 77) then estimated actual DBH. (Fig slightly bigger in circumference than Aid),NA,NA,NA,NA,a1,2344,371617.3158,1686844.026,GPS,371626.2289,1686842.885,GPS
2324,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2345,cyno,43,nff,b1,5.22,b1.5,5.1,NA,NA,NA,NA,NA,b1,2345,371623.4264,1686850.262,midpoint.extrapolated.in.R,371617.7815,1686851.753,GPS
2325,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2346,cyno,43,nff,a1,6.66,b1,5.98,NA,NA,NA,NA,NA,b1,2346,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2326,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2347,cyno,87,nff,a1,6.62,b1,6.51,NA,NA,NA,NA,NA,b1,2347,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2327,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2348,guamia,71,fr,a1,7.37,b1,4.88,NA,NA,NA,NA,NA,b1,2348,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2328,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2349,cyno,62,nff,a1,7.19,b1,3.25,NA,NA,NA,NA,NA,b1,2349,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
2329,40056,Emily Schultz Notebook 1 #23,NA,EH; ES,NA,saipan,ladt,NA,a1-b2,B1,2350,cyno,104,nff,a1,7.89,b1,2.2,NA,NA,NA,NA,NA,b1,2350,371617.7815,1686851.753,GPS,371617.3158,1686844.026,GPS
