Point_name,corner_x,corner_y
a0,372167.68529,1688472.68634
a1,372177.775061,1688471.21205
a2,372185.388898,1688469.75497
a3,372197.6035,1688469.073
a4,372204.890801,1688467.62843
b0,372169.275411,1688479.93718
b1,372178.265478,1688478.82048
b2,372185.989429,1688477.92214
b3,372196.8198,1688476.22
b4,372205.3331,1688476.15
c0,372171.0625,1688489.392
c1,372179.94423,1688488.83457
c2,372188.7391,1688488.559
c3,372199.2275,1688486.115
c4,372206.6189,1688484.848
d0,372170.493906,1688499.77196
d1,372178.9032,1688498.26
d2,372189.781949,1688497.01777
d3,372200.426138,1688497.07604
d4,372208.668857,1688497.18968
e0,372172.335147,1688507.34206
e1,372180.6021,1688505.31
e2,372192.3569,1688503.535
e3,372201.8984,1688505.044
e4,372208.4762,1688504.182
z*a0,372156.9249,1688465.918
z*a4,372212.926712,1688457.85928
z*e0,NA,NA
z*e4,372219.2756,1688514.69
z0a,372159.427778,1688474.33521
z0b,372159.836601,1688482.56035
z0c,372160.33694,1688491.40309
z0d,NA,NA
z0e,372162.913706,1688510.13347
z4a,372215.605,1688465.761
z4b,372215.191654,1688474.40251
z4c,372215.478472,1688484.00905
z4d,372216.5421,1688494.331
za0,372166.992283,1688464.99394
za1,372177.0829,1688463.729
za2,372184.011,1688463.276
za3,372194.198694,1688461.57718
za4,NA,NA
ze0,372174.345,1688516.782
ze1,372183.8711,1688517.509
ze2,NA,NA
ze3,NA,NA
ze4,NA,NA
