island,site,quaddiag,species,leftdist,rightdist,tag,RKPx,RKPy,LKPx,LKPy
guam,nblas,c0-z0d,guamia,6.22,5,3651,275573.6129,1497718.379,275579.2518,1497710.208
guam,nblas,c0-z0d,guamia,7.04,10.11,3652,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,guamia,7.58,10.48,3653,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,eug,8.95,3.22,3654,275582.5201,1497721.974,275573.6129,1497718.379
guam,nblas,c0-z0d,mayt,1.17,9.6,3655,275588.5357,1497714.792,275582.5201,1497721.974
guam,nblas,c0-z0d,eug,8.85,1.04,3656,275582.5201,1497721.974,275573.6129,1497718.379
guam,nblas,c0-z0d,eug,8.14,1.75,3657,275582.5201,1497721.974,275573.6129,1497718.379
guam,nblas,c0-z0d,cyno,6.89,3.78,3658,275582.5201,1497721.974,275573.6129,1497718.379
guam,nblas,c0-z0d,eug,4.94,9.38,3659,275588.5357,1497714.792,275582.5201,1497721.974
guam,nblas,c0-z0d,eug,4.38,8.45,3660,275588.5357,1497714.792,275582.5201,1497721.974
guam,nblas,c0-z0d,eug,8.2,6.37,3701,275573.6129,1497718.379,275579.2518,1497710.208
guam,nblas,c0-z0d,guamia,5.1,10.81,3702,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,guamia,3.37,9.22,3703,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,guamia,2.74,8.32,3704,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,guamia,3.7,7.36,3705,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,eug,6.63,5.32,3706,275579.2518,1497710.208,275588.5357,1497714.792
guam,nblas,c0-z0d,guamia,5.53,5.38,3707,275573.6129,1497718.379,275579.2518,1497710.208
guam,nblas,c0-z0d,cyno,3.47,6.89,3708,275573.6129,1497718.379,275579.2518,1497710.208
guam,nblas,c0-z0d,cyno,1.38,9.16,3709,275573.6129,1497718.379,275579.2518,1497710.208
guam,nblas,c0-z0d,eug,2.01,9.38,3710,275573.6129,1497718.379,275579.2518,1497710.208
