Point_name,corner_x,corner_y
a0,308178.4013,1563696.813
a1,308184.4117,1563690.802
a2,308191.6352,1563683.939
a3,308197.6777315,1563676.9323725
a4,308205.4431,1563669.942
b0,308185.851244,1563703.26966
b1,308191.474888,1563696.80401
b2,308197.6257,1563689.263
b3,308204.2149,1563682.9
b4,308211.7733,1563675.582
c0,308193.256436,1563710.44415
c1,308198.907,1563703.854
c2,308204.517,1563695.882
c3,308211.725,1563691.164
c4,308219.5537,1563682.683
d0,308199.1371,1563718.731
d1,308204.329,1563710.031
d2,NA,NA
d3,308219.041025,1563696.50325
d4,308226.2359,1563689.365
e0,NA,NA
e1,308212.7262,1563718.561
e2,308218.993725,1563710.08125
e3,308227.3027,1563702.258
e4,308234.798,1563696.236
z*a0,308164.0335,1563697.064
z*a4,308203.404346,1563656.94466
z*e0,308206.4601,1563735.075
z*e4,NA,NA
z0a,308173.021,1563703.56
z0b,308179.774,1563707.624
z0c,NA,NA
z0d,308191.4881,1563725.258
z0e,308201.8475,1563728.477
z4a,308211.2935,1563663.275
z4b,308217.8926,1563668.29
z4c,308226.2359,1563675.535
z4d,NA,NA
za0,NA,NA
za1,308178.3691,1563684.514
za2,308183.4092,1563678.872
za3,NA,NA
za4,308196.193354,1563663.87503
ze0,NA,NA
ze1,308219.9166,1563723.821
ze2,308225.0455,1563716.28
ze3,NA,NA
ze4,308239.989,1563701.909
