Point_name,corner_x,corner_y
a0,271222.0677,1493596.313
a1,271212.9345,1493596.62
a2,271205.1878,1493598.69
a3,271194.0518,1493599.061
a4,271183.2569,1493599.937
b0,271222.3412,1493585.218
b1,271212.5184,1493587.281
b2,271203.3023,1493586.406
b3,271193.8559,1493587.737
b4,271181.6943,1493589.508
c0,271221.0221,1493575.162
c1,271210.1722,1493578.503
c2,271200.5262,1493577.286
c3,271191.9358,1493577.502
c4,271180.8775,1493578.7
d0,271219.9185,1493569.104
d1,271210.0475,1493567.281
d2,271199.8584,1493568.95
d3,271192.294,1493569.934
d4,271179.54,1493569.254
e0,271219.84687925,1493559.5307775
e1,271210.0398,1493558.336
e2,271199.0457,1493560.794
e3,271189.5979,1493560.333
e4,271180.0357,1493561.186
z*a0,NA,NA
z*a4,271176.648821,1493613.00431
z*e0,271229.2497,1493550.966
z*e4,271170.2148,1493550.699
z0a,271232.9009,1493598.243
z0b,271231.9511,1493585.639
z0c,NA,NA
z0d,NA,NA
z0e,NA,NA
z4a,NA,NA
z4b,271172.7112,1493592.276
z4c,271170.6054,1493580.786
z4d,271170.5955,1493571.524
za0,271224.388,1493608.022
za1,271215.1199,1493608.567
za2,271206.190205,1493609.43753
za3,271195.1314,1493610.505
za4,271185.95,1493611.883
ze0,271219.392,1493550.973
ze1,271210.373204,1493551.08113
ze2,271200.7282,1493550.824
ze3,271190.4751,1493551.639
ze4,271179.9328,1493551.128
