X,date,notebook,notebookpage,mappingteam,dataentryby,island,site,mapfilename,quaddiag,quadcorner,tagnum,species,dbh,phenology,lefttarget,leftdist,righttarget,rightdist,notes,entby,dateent,proofby,dateproof,quadcorn,tag,RKPx,RKPy,RKPsource,LKPx,LKPy,LKPsource
1775,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,1796,aglaia,56,nff,a0,8.93,za0,1.06,NA,NA,NA,NA,NA,za0,1796,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
1776,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,1797,aglaia,103,nff,a0,9.88,za0,2.87,NA,NA,NA,NA,NA,za0,1797,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
1777,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,1798,guamia,40,nff,a0,7.2,za0,4.54,NA,NA,NA,NA,NA,za0,1798,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
1778,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,1799,guamia,81,nff,a0,9.52,za0,3.71,NA,NA,NA,NA,NA,za0,1799,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
1779,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,1800,aglaia,76,dns,a0,8,za0,7.01,NA,NA,NA,NA,NA,za0,1800,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3992,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,5013,aglaia,65,nff,a0,8.72,za0,4.35,NA,NA,NA,NA,NA,za0,5013,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3993,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,5014,eug,96,dns,a0,7.62,za0,7.16,NA,NA,NA,NA,NA,za0,5014,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3994,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,ZA0,5015,eug,NA,nff,a0,8.94,za0,4.52,NA,NA,NA,NA,NA,za0,5015,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3995,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,Z*A0,5016,aglaia,52,nff,a0,8.43,za0,7.68,NA,NA,NA,NA,NA,z*a0,5016,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3996,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,Z*A0,5017,eug,110,dns,a0,9.84,za0,6.24,NA,NA,NA,NA,NA,z*a0,5017,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
3997,40113,Julie Duay 25,34,KM; JD; MR,Julie,guam,race,NA,a0-z*a0,Z*A0,5018,guamia,118,dns,a0,7.16,za0,7.06,NA,NA,NA,NA,NA,z*a0,5018,271224.388,1493608.022,GPS,271222.0677,1493596.313,GPS
